,tweet_id,sentiment,text
0,2.60097528899453e+17,neutral,"Won the match #getin . Plus, tomorrow is a very busy day, with Awareness Day's and debates. Gulp. Debates..."
1,2.63791921753883e+17,neutral,Some areas of New England could see the first flakes of the season Tuesday.
2,2.6419457838141e+17,negative,[someone] 2nd worst QB. DEFINITELY Tony Romo. The man who likes to share the ball with everyone. Including the other team.
3,2.64041328420205e+17,neutral,#Thailand Washington - US President Barack Obama vowed Wednesday as he visited storm-ravaged New Jersey shore to...
4,2.63816256640127e+17,neutral,Did you all hear what Tony Romo dressed up as for Halloween? A Giants quaterback! because that is all he could throw to sunday night.
5,2.63722278712394e+17,positive,"Tim Tebow may be availible ! Wow Jerry , what the heck you waiting for !"
6,2.62936443171779e+17,positive,"[someone] aga tayo tomorrow ah. :) Good night, Ces. Love you! >:D<"
7,2.60486470828171e+17,neutral,Tina Fey & Amy Poehler are hosting the Golden Globe awards on January 13. What do you think?
8,2.62968617233162e+17,positive,Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back#
9,2.63790847424881e+17,positive,SNC Halloween Pr. Pumped. let us work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween
10,2.64255236435243e+17,negative,"[someone] I am sorry, I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)"
11,2.64221473558917e+17,neutral,Manchester United will try to return to winning ways when they face Arsenal in the Premier League at Old Trafford on Saturday.
12,2.64091690632106e+17,neutral,Going to a bulls game with Aaliyah & hope next Thursday
13,2.63929564907069e+17,neutral,Any Toon Fans with a spare ticket for Anfield on Sunday?willing to pay extra #NUFC
14,2.63759328782205e+17,positive,Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :)
15,2.59546192722162e+17,neutral,going to bed now...Rose parade then game tomorrow
16,2.64249030572393e+17,neutral,[someone] oh because my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :P
17,2.64123482206519e+17,positive,"""I love the banner that was unfurled in the United end last night. It read: ""Chelsea - Standing up against racism since Sunday"""""
18,2.64255668180091e+17,positive,#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one
19,2.63972796454027e+17,negative,[someone] is this one of your little jokes like Elvis playing at the Marquee  next Tuesday?
20,2.45502562969739e+17,positive,"""Gary Ablett wins the AFLPA MVP for the 4th time in his career. He should have started his speech with- ""Yeah, I had..."
21,2.64222689177264e+17,negative,"Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday, with investors waiting for..."
22,2.6416385236573e+17,neutral,.[someone]: Another close-range IU shot goes high. Kyle Schickel checks in for Missimo. Kyle missed the Wisconsin game last Sunday.
23,2.6403077556811e+17,positive,Lana Del Rey at Hammersmith Apollo in May... Very badly want tickets
24,2.51535900759175e+17,neutral,"Shaw would not let Luck throw late in the FIesta Bowl, but he is fine with Nunes throwing a fade route on 4th and 4 w/ 1:50 left."
25,2.64247453551833e+17,negative,"Monday before I leave Singapore, I am going to post something that might be offensive."
26,2.64205556212957e+17,positive,"ABC has [someone] , and the Country Music Awards, they may still have a little credibility come Wednesday. #tcot"
