,tweet_id,sentiment,text
0,5.2082933252544096e+17,negative,Saturday without Leeds United is like Sunday without a Sunday dinner it does not feel normal at all (Ryan)
1,5.22931511323275e+17,positive,Catch Rainbow Valley at the [someone] #IMAF2014 Gala. Oct 26 [someone]!
2,5.23099837936312e+17,positive,"""[someone] it does not really count, I was decorating a haunted house for a Halloween program tomorrow...I get paid lots of overtime:-)"""
3,5.2138441321796e+17,positive,"""#BEARDOWN Wish us luck...we may need it. (@ Georgia Dome for Atlanta Falcons vs. Chicago Bears in Atlanta, GA)"
4,5.2307658449723e+17,positive,we are so excited to be part of the Still We Rise Gala on Dec 3. Join us! [someone]
5,5.229031277173311e+17,negative,"""Not really feeling this new season of American Horror Story. 1st 2 season were legit, it went downhill after that."""
6,5.2038452493367296e+17,positive,"""[someone] Dude, c'mon. Bears are going to the Georgia Dome. that is the one place the Falcons CAN win."""
7,5.228383261269889e+17,neutral,I wonder if Billy Joe Armstrong (Green Day) gets woken up every October 1st. That joke would be funny the first time but prob get annoying.
8,5.22436979921674e+17,neutral,Late upload from the Bears game Sunday @ The Georgia Dome
9,5.22958573685736e+17,neutral,I caught up on AHS I am a have to do scandal and how to get away with murder tomorrow
10,5.2308744826467104e+17,neutral,My Friday consists of Netflix and hot tea allllllllll day long.
11,5.2208982299197e+17,positive,I am a big fan of Kunle Afolayan. I normally enjoy his movies  Is October 1 any good? Would love to see it
12,5.2215668490373504e+17,positive,I watched October 1 today. Awesome movie: A blockbuster! Kunle Afolayan never disappoints. D Lord will bless you with better ideas.Cheers!
13,5.2307347244072096e+17,neutral,#DailyDouble reminder! Liam's on a Friday night double @ 11/4. Get it here &gt;&gt;&gt;
14,5.22849555562242e+17,positive,[someone]  just got back to Ohio from LA while I was there I saw a guy wearing your jersey on Sun. And one at LAX yesterday #LeahStrong
15,5.19035126920274e+17,neutral,[someone] there was a particular scene where Danladi sat in the bush with Afolayan's character. They just kept talking and talking.
16,5.2276703616685696e+17,positive,Need car financing? Toyota of Hollywood has you covered!
17,5.2285530187658e+17,positive,"""I have been watching Gilmore Girls for the past 3 hours. Oops, happy Thursday!"""
18,5.19145349596738e+17,neutral,The Coast Guard first encountered Reza Baluchi on Wednesday after receiving a report about a man in a bubble off the coast of Florida...
19,5.23082124812124e+17,negative,"""[someone] Hi, was offered the 6 months free Netflix last Tuesday and was told it takes 5 days to receive a code but have not got anything"""
20,5.2309657199577504e+17,neutral,Tip o' the day on Green Day Friday [someone]: Give your old laptop a new life via Globetops 
21,5.22983614741746e+17,neutral,just sat here thinking about liam and louis changing their world the whole world
22,5.22787055060148e+17,positive,Kobe Bryant is better than the 40th best player. I would say about 25th
23,5.2303572822617696e+17,neutral,#DailyDouble time! Liam's on a Friday night double @ 11/4. Get it here &gt;&gt;&gt;
24,5.2310203459856e+17,neutral,How safe are local rescue workers against the threat of Ebola? David Linton provides some answers on Sunday.
