tweet_id,sentiment,text
264183816548131000,positive,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
263405084770173000,negative,"Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday."
262163168678248000,negative,"its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february."
264249301910311000,negative,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
262682041215234000,neutral,"Tehran, Mon Amour: Obama Tried to Establish Ties with the Mullahs"
264229576773861000,neutral,I sat through this whole movie just for Harry and Ron at christmas. ohlawd
264105751826539000,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689954000,negative,"Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out."
212392538055778000,neutral,"Why is ""Happy Valentines Day"" trending? It's on the 14th of February not 12th of June smh.."
254941790757601000,negative,"They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. [someone] [someone]"
264169034155696000,neutral,"Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched"
263192091700654000,neutral,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads..."
263398998675694000,positive,[someone] [someone] [someone] I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
263650552167158000,positive,One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol
260200142420992000,neutral,#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me...
264087629237203000,positive,[someone] I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked
250692636330050000,neutral,[someone] [someone] hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
263304719471088000,neutral,"#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary..."
261954070938538000,positive,[someone] serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.
260940907082293000,neutral,[someone] [someone] [someone] Larry Bird is ranked 4th all-time not including Lebron or Kobe just sayin...
263956867787674000,positive,Good Morning Becky ! Thursday is going to be Fantastic ! [someone] [someone] [someone] [someone] [someone] [someone] [someone] [someone]
263975113404342000,neutral,"Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)"
257343699460174000,positive,One ticket left for the [someone] game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!
264125591337464000,negative,"AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him."
262350309781824000,negative,My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho
264259830590603000,negative,Why is it so hard to find the [someone] these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
257239661976625000,neutral,Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee
263868270006907000,neutral,James hall LIVE in Indianapolis Dec.8th.. CHRIST CHURCH APOSTOLIC!' Tixs just $10/adv. $15[someone] BE THERE..
264223934403211000,neutral,[someone] the heat game may cost alot more...and plus I would rather see Austin Rivers play
264041764460036000,positive,"Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit"
264102295392883000,positive,"[someone] I had Vick and Flacco, needed an upgrade.  Vick may get benched, Jennings a back up again soon. I thought it was a win for me."
264173636141851000,positive,"[someone] KEY LARGO, FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur's!!"
264071572925604000,positive,Looks like Andy the Android may have had a little too much fun yesterday.
262115068320285000,positive,[someone] oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..
264239636799431000,neutral,"BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,..."
264250109833925000,positive,YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!
257951107530252000,negative,"[someone] [someone] [someone] Jenelle lies,1st she said she was alone &the hosp.now she's saying how weird it was for Keiffer's"
263502599699956000,negative,"[someone] LMFAO his big ass get on my nerves, you going to class tomorrow?"
264089847680078000,positive,[someone] I'm going to Hong Kong during that time and mamA is on Nov 30. I want to see them live
247426222190125000,positive,Happy 20th Mr. President! Nick J forever off the chain.
224195395138490000,negative,Dream High 2 sucks compared to the 1st one.
236665189502681000,neutral,"Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday..."
262384414623937000,neutral,C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
263936581734384000,negative,"[someone] you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode"
249228128302551000,neutral,"At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare"
243094456398664000,positive,Happy birthday VOW  (the 3rd anniversary)
263346444772184000,positive,[someone] I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! <3
263970913270252000,positive,"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
264162997088436000,positive,#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!!
259821574394356000,positive,[someone] anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)
263800856321860000,negative,My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/
264011728084410000,neutral,"#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD."
264120483384009000,neutral,[someone] is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
263939499426476000,positive,[someone] I may have an Android phone by the time I get back to school! :)
264056733691961000,neutral,"Andre's Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,..."
264166129126228000,positive,[someone] Tryst tonight! Best industry/local/Thursday party in Las Vegas!
255098372162212000,positive,What If it rained? We didn't care.. She said that someday soon the sun was gonna shine.. And she was right.. This love of mine My Valentine
260625554917712000,positive,"[someone] [someone] royal rumble tomorrow night, my house. assemble the crew were gettin real this time haahaha"
261965816906535000,neutral,"[someone] strange enough, I'm going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch"
264042275108188000,neutral,"When my professor passes out candy and says ""a very small amount of that may be from Valentines day, just so you know"""
263656013541028000,neutral,How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter
165044172858987000,negative,"Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ..."
264230416897159000,positive,taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.
263809311086629000,positive,The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up
254278082985337000,positive,"I'd love to go for a pint with Jim White off SSN, think he may have a bit about him"
263797084673692000,neutral,"[someone] There are going to be plenty of ups & downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo"
264162375182217000,negative,"[someone] that sucks, amazon might have some left .. hate that i won't have it until 11am on Tuesday though"
229553993750282000,positive,Happy Sunday last off Sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun
264253780797825000,neutral,"Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers"
263974210618147000,positive,#CFC [someone] is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic
260193762398065000,negative,[someone] Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means I can't afford them :'(
256237809147445000,neutral,The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
264198711113040000,positive,[someone] on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;
262977065568051000,neutral,"after seeing [someone]'s tweet about watching The Vow, I think I may need to watch it."
