tweet_id,sentiment,text
628949369883001000,negative,"dear [someone] the newOoffice for Mac is great and all, but no Lync update? C'mon."
628976607420646000,negative,[someone] how about you make a system that doesn't eat my friggin discs. This is the 2nd time this has happened and I am so sick of it!
629023169169519000,negative,I may be ignorant on this issue but... should we celebrate [someone]'s parental leave changes? Doesn't the gender divide suggest... (1/2)
629179223232479000,negative,"Thanks to [someone], I just may be switching over to [someone]."
629186282179154000,neutral,If I make a game as a #windows10 Universal App. Will #xboxone owners be able to download and play it in November? [someone] [someone]
629226490152915000,positive,"Microsoft, I may not prefer your gaming branch of business. But, you do make a damn fine operating system. #Windows10 [someone]"
629345637155361000,negative,[someone] [someone] I will be downgrading and let #Windows10 be out for almost the 1st yr b4 trying it again. #Windows10fail
629394528336638000,negative,[someone] 2nd computer with same error!!! #Windows10fail Guess we will shelve this until SP1!
629650766580609000,positive,"Just ordered my 1st ever tablet; [someone] Surface Pro 3, i7/8GB 512GB SSD. Hopefully it works out for dev to replace my laptop =)"
629797991826723000,negative,"After attempting a reinstall, it still bricks, says, Windows cannot finish installing, or somesuch. [someone] may have cost me $600."
630159517058142000,positive,"Sunday morning, quiet day so time to welcome in #Windows10 [someone] [someone]"
630542330827772000,negative,Did [someone] break Windows 10? Was working fine on Wednesday but now I can't get passed the login screen without it freezing up.
630636736746422000,negative,[someone] [someone] spent over 40 mins &amp; gave up coz it changes just before you print every time. C'mon team. Earn your dosh pls.
630807124872970000,neutral,"[someone] [someone] the reason I ask is because it may be the manufacturer's fault, and they could help you."
630818265799922000,positive,Innovation for jobs is just around the corner - to be exact next Wednesday 8/19 at [someone]
630909171437802000,neutral,OK this is my pure speculation.  [someone] owns the cloud compute tech.  [someone] is utilizing the tech.  3rd party devs is open to use.
630982270409572000,neutral,We are still taking registrations for our Education Technology Update with [someone] and [someone] on August 28! Visit:
631104156187628000,negative,For the 1st time [someone] has a High Startup impact   Does anyone at [someone] have a clue? #Windows10Fail
